geneId	cluster
Mp2g24950	C2
Mp2g24960	C12
Mp2g25035a	C1
Mp2g25080	C6
Mp2g25120	C6
Mp2g25300	C2
Mp2g25370	C3
Mp2g25380	C3
Mp2g25430	C6
Mp2g25430	C1
Mp2g25450	C6
Mp2g25460	C2
Mp2g25490	C1
Mp2g25520	C3
Mp2g25560	C3
Mp2g25625	C6
Mp2g25840	C3
Mp2g25930	C3
Mp2g25950	C3
Mp2g26370	C2
Mp2g26410	C2
Mp2g26430	C3
Mp2g26440	C9
Mp2g26500	C10
Mp2g26520	C6
Mp2g26820	C1
Mp3g00010	C6
Mp3g00010	C1
Mp3g00020	C3
Mp3g00180	C3
Mp3g00220	C2
Mp3g00230	C1
Mp3g00260	C7
Mp3g00340	C10
Mp3g00530	C6
Mp3g00650	C4
Mp3g00650	C3
Mp3g00680	C1
Mp3g00690	C5
Mp3g00710	C11
Mp3g00800	C3
Mp3g00910	C2
Mp3g00920	C6
Mp3g01020	C2
Mp3g01080	C3
Mp3g01090	C1
Mp3g01100	C2
Mp3g01155a	C6
Mp3g01190	C6
Mp3g01200	C5
Mp3g01200	C3
Mp3g01220	C1
Mp3g01210	C6
Mp3g01240	C4
Mp3g01240	C6
Mp3g01260	C10
Mp3g01270	C3
Mp3g01300	C3
Mp3g01300	C1
Mp3g01430	C3
Mp3g01450	C10
Mp3g01470	C3
Mp3g01580	C10
Mp3g01590	C3
Mp3g01690	C6
Mp3g01690	C2
Mp3g01725	C10
Mp3g01770	C6
Mp3g01790	C6
Mp3g01860	C6
Mp3g01860	C3
Mp3g02000	C3
Mp3g02010	C3
Mp3g02050	C6
Mp3g02180	C15
Mp3g02220	C3
Mp3g02240	C2
Mp3g02300	C1
Mp3g02380	C3
Mp3g02400	C1
Mp3g02460	C4
Mp3g02490	C3
Mp3g02620	C2
Mp3g02640	C1
Mp3g02640	C4
Mp3g02780	C1
Mp3g02825b	C2
Mp3g02930	C3
Mp3g03050	C14
Mp3g03050	C2
Mp3g03370	C3
Mp3g03420	C3
Mp3g03530	C14
Mp3g03550	C3
Mp3g03660	C3
Mp3g03660	C6
Mp3g03830	C3
Mp3g03850	C2
Mp3g03860	C3
Mp3g03900	C4
Mp3g03930	C4
Mp3g03990	C12
Mp3g04100	C3
Mp3g04150	C3
Mp3g04180	C4
Mp3g04200	C3
Mp3g04240	C3
Mp3g04290	C11
Mp3g04420	C3
Mp3g04510	C1
Mp3g04700	C3
Mp3g04970	C6
Mp3g05140	C2
Mp3g05240	C10
Mp3g05350	C6
Mp3g05370	C3
Mp3g05390	C3
Mp3g05480	C1
Mp3g05590	C2
Mp3g05690	C6
Mp3g05760	C3
Mp3g05780	C2
Mp3g05790	C3
Mp3g05810	C3
Mp3g05930	C2
Mp3g06080	C3
Mp3g06090	C3
Mp3g06290	C6
Mp3g06320	C6
Mp3g06400	C6
Mp3g06470	C5
Mp3g06490	C6
Mp3g06500	C4
Mp3g06500	C6
Mp3g06510	C6
Mp3g06570	C10
Mp3g06570	C5
Mp3g06750	C1
Mp3g06800	C2
Mp3g06900	C7
Mp3g06925a	C9
Mp3g06930	C10
Mp3g06960	C3
Mp3g07020	C3
Mp3g07095a	C1
Mp3g07170	C3
Mp3g07540	C6
Mp3g07620	C2
Mp3g07810	C1
Mp3g07990	C11
Mp3g08110	C2
Mp3g08120	C1
Mp3g08180	C13
Mp3g08260	C2
Mp3g08310	C3
Mp3g08320	C1
Mp3g08360	C7
Mp3g08380	C9
Mp3g08410	C2
Mp3g08430	C9
Mp3g08520	C3
Mp3g08610	C1
Mp3g08640	C6
Mp3g08660	C6
Mp3g08690	C3
Mp3g08760	C2
Mp3g08790	C6
Mp3g08820	C6
Mp3g08870	C3
Mp3g08970	C2
Mp3g08970	C5
Mp3g09000	C2
Mp3g09010	C2
Mp3g09030	C2
Mp3g09040	C3
Mp3g09050	C2
Mp3g09100	C3
Mp3g09120	C6
Mp3g09140	C6
Mp3g09270	C2
Mp3g09340	C3
Mp3g09430	C6
Mp3g09540	C3
Mp3g09560	C2
Mp3g09590	C3
Mp3g09610	C1
Mp3g09620	C1
Mp3g09760	C3
Mp3g09830	C6
Mp3g09900	C3
Mp3g09990	C6
Mp3g10020	C3
Mp3g10350	C4
Mp3g10360	C10
Mp3g10370	C3
Mp3g10390	C3
Mp3g10400	C3
Mp3g10430	C3
Mp3g10450	C3
Mp3g10460	C6
Mp3g10530	C6
Mp3g10570	C3
Mp3g10640	C3
Mp3g10710	C6
Mp3g10760	C6
Mp3g10780	C3
Mp3g10850	C2
Mp3g10860	C2
Mp3g10920	C6
Mp3g10940	C4
Mp3g10970	C3
Mp3g10990	C3
Mp3g11060	C6
Mp3g11060	C3
Mp3g11150	C7
Mp3g11150	C13
Mp3g11160	C5
Mp3g11260	C6
Mp3g11360	C3
Mp3g11360	C6
Mp3g11360	C2
Mp3g11380	C3
Mp3g11430	C3
Mp3g11470	C2
Mp3g11470	C9
Mp3g11480	C3
Mp3g11520	C2
Mp3g11610	C3
Mp3g11660	C3
Mp3g11780	C3
Mp3g11790	C2
Mp3g11880	C6
Mp3g11970	C3
Mp3g11980	C3
Mp3g12020	C1
Mp3g12030	C6
Mp3g12060	C2
Mp3g12130	C3
Mp3g12380	C10
Mp3g12410	C10
Mp3g12570	C3
Mp3g12610	C3
Mp3g12680	C6
Mp3g12690	C6
Mp3g12840	C3
Mp3g12880	C11
Mp3g12930	C2
Mp3g13080	C3
Mp3g13100	C3
Mp3g13140	C3
Mp3g13160	C6
