gene	group
Mp8g08910	U_HS T
Mp8g08920	U_HS T
Mp8g08940	U_HS T
Mp8g09000	U_HS T
Mp8g09300	U_HS T
Mp8g09430	U_HS T
Mp8g10000	U_HS T
Mp8g10350	U_HS T
Mp8g10580	U_HS T
Mp8g10690	U_HS T
Mp8g10880	U_HS T
Mp8g11420	U_HS T
Mp8g12000	U_HS T
Mp8g12570	U_HS T
Mp8g12580	U_HS T
Mp8g12700	U_HS T
Mp8g12710	U_HS T
Mp8g13250	U_HS T
Mp8g13320	U_HS T
Mp8g14180	U_HS T
Mp8g14310	U_HS T
Mp8g14590	U_HS T
Mp8g14870	U_HS T
Mp8g15930	U_HS T
Mp8g16110	U_HS T
Mp8g16390	U_HS T
Mp8g16450	U_HS T
Mp8g16770	U_HS T
Mp8g16780	U_HS T
Mp8g16880	U_HS T
Mp8g17560	U_HS T
Mp8g17750	U_HS T
Mp8g17840	U_HS T
Mp8g17860	U_HS T
Mp8g18530	U_HS T
Mp8g18550	U_HS T
Mp8g18560	U_HS T
MpVg00720	U_HS T
Mpzg00390	U_HS T
Mpzg02050b	U_HS T
Mp1g00270	U_HS a
Mp1g01880	U_HS a
Mp1g03140	U_HS a
Mp1g03150	U_HS a
Mp1g03980	U_HS a
Mp1g04910	U_HS a
Mp1g05150	U_HS a
Mp1g06140	U_HS a
Mp1g06770	U_HS a
Mp1g06780	U_HS a
Mp1g07390	U_HS a
Mp1g07590	U_HS a
Mp1g07730	U_HS a
Mp1g07850	U_HS a
Mp1g08130	U_HS a
Mp1g09300	U_HS a
Mp1g09860	U_HS a
Mp1g10180	U_HS a
Mp1g10420	U_HS a
Mp1g10640	U_HS a
Mp1g11660	U_HS a
Mp1g13010	U_HS a
Mp1g13200	U_HS a
Mp1g13290	U_HS a
Mp1g13390	U_HS a
Mp1g13590	U_HS a
Mp1g14470	U_HS a
Mp1g15880	U_HS a
Mp1g15980	U_HS a
Mp1g16320	U_HS a
Mp1g17150	U_HS a
Mp1g17415	U_HS a
Mp1g17660	U_HS a
Mp1g18440	U_HS a
Mp1g18650	U_HS a
Mp1g18740	U_HS a
Mp1g20160	U_HS a
Mp1g20490	U_HS a
Mp1g21730	U_HS a
Mp1g21930	U_HS a
Mp1g22530	U_HS a
Mp1g22540	U_HS a
Mp1g22550	U_HS a
Mp1g23640	U_HS a
Mp1g23730	U_HS a
Mp1g23740	U_HS a
Mp1g25540	U_HS a
Mp1g25610	U_HS a
Mp1g25620	U_HS a
Mp1g25870	U_HS a
Mp1g25890	U_HS a
Mp1g26000	U_HS a
Mp1g26030	U_HS a
Mp1g26850	U_HS a
Mp1g27310	U_HS a
Mp1g27630	U_HS a
Mp1g27870	U_HS a
Mp1g28170	U_HS a
Mp1g28180	U_HS a
Mp1g28240	U_HS a
Mp1g28300	U_HS a
Mp1g28390	U_HS a
Mp1g28400	U_HS a
Mp1g28570	U_HS a
Mp1g28940	U_HS a
Mp2g00230	U_HS a
Mp2g00260	U_HS a
Mp2g00660	U_HS a
Mp2g00690	U_HS a
Mp2g00860	U_HS a
Mp2g00910	U_HS a
Mp2g01660	U_HS a
Mp2g01690	U_HS a
Mp2g01820	U_HS a
Mp2g02020	U_HS a
Mp2g03470	U_HS a
Mp2g03710	U_HS a
Mp2g04410	U_HS a
Mp2g04460	U_HS a
Mp2g04890	U_HS a
Mp2g04900	U_HS a
Mp2g05630	U_HS a
Mp2g05760	U_HS a
Mp2g05810	U_HS a
Mp2g05910	U_HS a
Mp2g05950	U_HS a
Mp2g06030	U_HS a
Mp2g06080	U_HS a
Mp2g06930	U_HS a
Mp2g07710	U_HS a
Mp2g08570	U_HS a
Mp2g09970	U_HS a
Mp2g10010	U_HS a
Mp2g10050	U_HS a
Mp2g10070	U_HS a
Mp2g10240	U_HS a
Mp2g10330	U_HS a
Mp2g10700	U_HS a
Mp2g10850	U_HS a
Mp2g10860	U_HS a
Mp2g10870	U_HS a
Mp2g11200	U_HS a
Mp2g11660	U_HS a
Mp2g13620	U_HS a
Mp2g13670	U_HS a
Mp2g14720	U_HS a
Mp2g15440	U_HS a
Mp2g16130	U_HS a
Mp2g16350	U_HS a
Mp2g17410	U_HS a
Mp2g17420	U_HS a
Mp2g18470	U_HS a
Mp2g18620	U_HS a
Mp2g18650	U_HS a
Mp2g19160	U_HS a
Mp2g19730	U_HS a
Mp2g20870	U_HS a
Mp2g21880	U_HS a
Mp2g22390	U_HS a
Mp2g22740	U_HS a
Mp2g22790	U_HS a
Mp2g24260	U_HS a
Mp2g25540	U_HS a
Mp2g25620	U_HS a
Mp2g25630	U_HS a
Mp2g25660	U_HS a
Mp2g26270	U_HS a
Mp2g26345	U_HS a
Mp3g00110	U_HS a
Mp3g00270	U_HS a
Mp3g00960	U_HS a
Mp3g01000	U_HS a
Mp3g01630	U_HS a
Mp3g01890	U_HS a
Mp3g01970	U_HS a
Mp3g02290	U_HS a
Mp3g02660	U_HS a
Mp3g02670	U_HS a
Mp3g02720	U_HS a
Mp3g03030	U_HS a
Mp3g03200	U_HS a
Mp3g03350	U_HS a
Mp3g03980	U_HS a
Mp3g04160	U_HS a
Mp3g04190	U_HS a
Mp3g04260	U_HS a
Mp3g04620	U_HS a
Mp3g05190	U_HS a
Mp3g05230	U_HS a
Mp3g05490	U_HS a
Mp3g05560	U_HS a
Mp3g05600	U_HS a
Mp3g06140	U_HS a
Mp3g06510	U_HS a
Mp3g06520	U_HS a
Mp3g07690	U_HS a
Mp3g08430	U_HS a
Mp3g09170	U_HS a
Mp3g09190	U_HS a
Mp3g09200	U_HS a
Mp3g09220	U_HS a
Mp3g09290	U_HS a
Mp3g10370	U_HS a
Mp3g10580	U_HS a
Mp3g10920	U_HS a
Mp3g11470	U_HS a
Mp3g11880	U_HS a
Mp3g13150	U_HS a
Mp3g13280	U_HS a
Mp3g13740	U_HS a
Mp3g13910	U_HS a
Mp3g14030	U_HS a
Mp3g14290	U_HS a
Mp3g15350	U_HS a
Mp3g15730	U_HS a
Mp3g15770	U_HS a
Mp3g15910	U_HS a
Mp3g16080	U_HS a
Mp3g16090	U_HS a
Mp3g16720	U_HS a
