gene	cluster
Mp3g16640	C1
Mp3g16660	C1
Mp3g16670	C6
Mp3g16720	C5
Mp3g16760	C4
Mp3g16770	C7
Mp3g16780	C1
Mp3g16860	C6
Mp3g16900	C5
Mp3g17080	C2
Mp3g17100	C1
Mp3g17110	C5
Mp3g17120	C3
Mp3g17260	C2
Mp3g17420	C4
Mp3g17440	C5
Mp3g17450	C2
Mp3g17470	C6
Mp3g17570	C1
Mp3g17580	C8
Mp3g17620	C3
Mp3g17740	C4
Mp3g17870	C6
Mp3g18030	C6
Mp3g18050	C7
Mp3g18090	C1
Mp3g18130	C3
Mp3g18140	C4
Mp3g18160	C2
Mp3g18190	C8
Mp3g18210	C2
Mp3g18270	C4
Mp3g18320	C6
Mp3g18400	C5
Mp3g18450	C8
Mp3g18460	C5
Mp3g18470	C4
Mp3g18480	C5
Mp3g18520	C1
Mp3g18590	C4
Mp3g18630	C3
Mp3g18710	C1
Mp3g18830	C6
Mp3g18940	C1
Mp3g19010	C1
Mp3g19050	C1
Mp3g19060	C3
Mp3g19080	C3
Mp3g19100	C1
Mp3g19350	C7
