output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C3_NLP_10	NA	C3_NLP_10	C_	180	7.47602	121	7.06435	122	-0.20887	1.98788e-45	True
_C3_C2H2_19	NA	C3_C2H2_19	C_	199	4.8996	139	4.78225	130	-0.20783	5.02347e-50	True
_C2_C2C2YABBY_16-C5_C2C2YABBY_16	NA	C2_C2C2YABBY_16-C5_C2C2YABBY_16	C_	632	10.64355	447	9.1228	347	0.12424	1.18393e-59	True
_C1_Trihelix_12	NA	C1_Trihelix_12	C_	130	6.03234	85	6.09755	81	-0.25364	3.24718e-46	True
_C3_AP2EREBP_109	NA	C3_AP2EREBP_109	C_	33	5.5301	21	5.8424	26	-0.64135	3.76693e-54	True
_C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	NA	C10_CAMTA_8-C2_CAMTA_9-C5_CAMTA_9	C_	133	6.02299	95	5.88331	97	-0.2093	5.09155e-40	True
_C3_TCP_77-C5_TCP_103	NA	C3_TCP_77-C5_TCP_103	C_	99	4.59764	69	4.89233	69	-0.31462	3.71445e-59	True
_C3_TCP_46	NA	C3_TCP_46	C_0-C10_TCP_54-C13_TCP_21-C2_TCP_42-C3_TCP_44-C4_TCP_56-C5_TCP_61-C6_TCP_67-C9_TCP_28	98	5.27495	74	5.41275	74	-0.21636	2.65412e-38	True
_C2_C3H_5	NA	C2_C3H_5	C_	44	6.00967	32	4.98629	23	0.34089	2.2867e-40	True
_C10_AP2EREBP_80	NA	C10_AP2EREBP_80	C_	98	4.28938	62	4.40658	62	-0.31967	7.56166e-53	True
_C5_bZIP_47	NA	C5_bZIP_47	C_	170	7.53483	113	6.16453	81	0.17096	2.00276e-46	True
_C5_bZIP_10-C6_bZIP_11	NA	C5_bZIP_10-C6_bZIP_11	C_	200	6.72056	148	6.14554	106	0.18672	1.40879e-47	True
_C10_AP2EREBP_113-C2_AP2EREBP_112-C3_AP2EREBP_96	NA	C10_AP2EREBP_113-C2_AP2EREBP_112-C3_AP2EREBP_96	C_	137	5.40397	99	5.13187	96	-0.19765	2.10103e-38	True
_C3_AP2EREBP_155	NA	C3_AP2EREBP_155	C_	55	3.76807	32	4.11052	38	-0.40522	2.48279e-47	True
_C1_C2H2_2-C10_C2H2_8-C11_C2H2_2-C13_C2H2_3-C2_C2H2_6-C3_C2H2_4-C4_C2H2_5-C5_C2H2_7-C6_C2H2_9-C9_C2H2_2	NA	C1_C2H2_2-C10_C2H2_8-C11_C2H2_2-C13_C2H2_3-C2_C2H2_6-C3_C2H2_4-C4_C2H2_5-C5_C2H2_7-C6_C2H2_9-C9_C2H2_2	C_	1077	11.46986	770	9.77196	703	-0.10203	1.94475e-58	True
_C10_C2H2_7-C13_C2H2_2-C4_C2H2_4-C5_C2H2_6-C6_C2H2_8	NA	C10_C2H2_7-C13_C2H2_2-C4_C2H2_4-C5_C2H2_6-C6_C2H2_8	C_	435	5.60619	307	5.66804	292	-0.20649	5.5041e-69	True
