"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",1.05072266690565,"Mp1g03100 (interacts with) Mp6g20440",0.0491152351220638,"false","interacts with","Mp1g03100","Mp6g20440",0.0644892130562768,"Trihelix",NA,"source"
"interacts with",0.940237275640028,"Mp8g12000 (interacts with) Mp5g08100",0.00525516972422113,"false","interacts with","Mp8g12000","Mp5g08100",0.0374825531074078,"MYB",NA,"source"
"interacts with",0.869041812996524,"Mp1g03100 (interacts with) Mp8g02730",0.0491152351220638,"false","interacts with","Mp1g03100","Mp8g02730",0.0631844187297984,"Trihelix",NA,""
"interacts with",1.05708917043082,"Mp8g12000 (interacts with) Mp2g02780",1.2337530996831e-10,"false","interacts with","Mp8g12000","Mp2g02780",0.0373495080153178,"MYB",NA,""
"interacts with",0.934038421252236,"Mp1g03100 (interacts with) Mp2g21800",0.00525516972422113,"false","interacts with","Mp1g03100","Mp2g21800",0.0577853682903417,"Trihelix",NA,""
"interacts with",1.090448339785,"Mp8g12000 (interacts with) Mp7g11410",0,"false","interacts with","Mp8g12000","Mp7g11410",0.0372399028952873,"MYB",NA,""
"interacts with",0.960994205431946,"Mp1g03100 (interacts with) Mp7g06170",0.00525516972422113,"false","interacts with","Mp1g03100","Mp7g06170",0.0553707309772772,"Trihelix",NA,""
"interacts with",1.07523819945975,"Mp8g12000 (interacts with) Mp6g07390",0,"false","interacts with","Mp8g12000","Mp6g07390",0.0370066934955184,"MYB",NA,""
"interacts with",0.879417833885338,"Mp1g03100 (interacts with) Mp7g04390",4.77781991630177e-05,"false","interacts with","Mp1g03100","Mp7g04390",0.0549501135195209,"Trihelix",NA,""
"interacts with",1.04683821821232,"Mp1g03100 (interacts with) Mp7g19700",0.0491152351220638,"false","interacts with","Mp1g03100","Mp7g19700",0.0540281691138823,"Trihelix",NA,""
"interacts with",0.932330880970445,"Mp8g12000 (interacts with) Mp4g11900",0.000519722400126321,"false","interacts with","Mp8g12000","Mp4g11900",0.0359653629427709,"MYB",NA,""
"interacts with",0.926856894004586,"Mp1g03100 (interacts with) Mp2g00510",4.77781991630177e-05,"false","interacts with","Mp1g03100","Mp2g00510",0.0533772734743095,"Trihelix","bHLH",""
"interacts with",0.891348837350631,"Mp8g12000 (interacts with) Mp8g00290",0.000519722400126321,"false","interacts with","Mp8g12000","Mp8g00290",0.0356627665058977,"MYB",NA,""
"interacts with",0.989263482882704,"Mp1g03100 (interacts with) Mp6g09250",0.0491152351220638,"false","interacts with","Mp1g03100","Mp6g09250",0.0507661726793395,"Trihelix",NA,""
"interacts with",0.923011122180411,"Mp8g12000 (interacts with) Mp2g02870",0,"false","interacts with","Mp8g12000","Mp2g02870",0.0353477038892889,"MYB",NA,"source"
