distanceToTSS (log10)	group
0.282395504742526	hsfa CK
0	hsfa CK
-0.827692288674446	hsfa CK
0.805772631935669	hsfa CK
0	hsfa CK
-0.568319085095112	hsfa CK
0	hsfa CK
-0.297103650149256	hsfa CK
-0.205204363948145	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.815312043524359	hsfa CK
0.578295305120826	hsfa CK
0	hsfa CK
-0.513217600067939	hsfa CK
0.640481436970422	hsfa CK
0.265053788504015	hsfa CK
0	hsfa CK
0.487703863163726	hsfa CK
0	hsfa CK
-0.75396586586516	hsfa CK
0.642266618902674	hsfa CK
0.570542939881898	hsfa CK
0.533009022495485	hsfa CK
0.00475115559100102	hsfa CK
0	hsfa CK
0.441852175773292	hsfa CK
0	hsfa CK
-0.494571984230199	hsfa CK
0	hsfa CK
0	hsfa CK
0.735439203251481	hsfa CK
-0.610021024664145	hsfa CK
-0.569373909615046	hsfa CK
-0.348499570283838	hsfa CK
0	hsfa CK
-0.540704783310762	hsfa CK
-0.0322157032979816	hsfa CK
0.0157787563890409	hsfa CK
0.725094521081469	hsfa CK
0	hsfa CK
-0.718750734739665	hsfa CK
-0.230704313612569	hsfa CK
-0.261024833992397	hsfa CK
0	hsfa CK
0.793021659845983	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.69196510276736	hsfa CK
0.452246574520437	hsfa CK
0	hsfa CK
0	hsfa CK
0.840043330603494	hsfa CK
-0.643156465619706	hsfa CK
-0.555457217204649	hsfa CK
-0.426998958756537	hsfa CK
0	hsfa CK
-0.48015072527328	hsfa CK
-0.413969971748061	hsfa CK
-0.010299956639812	hsfa CK
0.272769586551759	hsfa CK
0.363799945479109	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
